sku,additional_attributes,additional_image_labels,additional_images,hide_from_product_page
VD04,"look_book_headline=FOR WHEREVER THE DAY TAKES YOU,look_book_subtitle=The Felicia Maxi Dress is your go-to on the days when you don't feel like wearing anything at all. This dress is lightweight, and forgiving exactly where you need it to be.,look_book_image=/V/D/VD04-MT_main.jpg",Shop The Look,/V/D/VD04-MT_main.jpg,/V/D/VD04-MT_main.jpg
VA10,"look_book_headline=CHANGE THE LOOK OF ANY OUTFIT,look_book_subtitle=Add this versatile belt to any ensemble for a piece of figure-flattering flair. The forgiving stretch material with soft leather detail is easy accessorizing with huge impact.,look_book_image=/V/A/VA10-CT_main.jpg",Shop The Look,/V/A/VA10-CT_main.jpg,/V/A/VA10-CT_main.jpg
VA11-GO-NA,"look_book_headline=ALL ABOUT THE DRAMA,look_book_subtitle=These gold & coral chandelier earrings are all about the drama. The 18K gold finish with a touch of bohemian whimsy puts the spotlight just where it needs to be: on you.,look_book_image=/V/A/VA11-SG_look.jpg",Shop The Look,/V/A/VA11-SG_look.jpg,/V/A/VA11-SG_look.jpg
VD06,"look_book_headline=THE CENTER OF ATTENTION,look_book_subtitle=This dress is soft to the touch, featuring a sheer, crushed velvet overlay that adds texture. The vertical pattern of the design elegantly slims and brilliantly camouflages.,look_book_image=/V/D/VD06-MT_main.jpg",Shop The Look,/V/D/VD06-MT_main.jpg,/V/D/VD06-MT_main.jpg
VA12-SI-NA,"look_book_headline=COOL OCEAN BLUES,look_book_subtitle=These silver chandelier earrings feature devastatingly beautiful blue hues that will have you dreaming of the beach. Delicate details make these a perfect addition.,look_book_image=/V/A/VA12-TS_main.jpg",Shop The Look,/V/A/VA12-TS_main.jpg,/V/A/VA12-TS_main.jpg
VA22-SI-NA,"look_book_headline=AMOR AND THEN SOME,look_book_subtitle=Love your look even more with a little sparkle. Made for mixing & matching, these bangles can be worn alone or with additional bracelets for more drama.,look_book_image=/V/A/VA22-SI_main.jpg",Shop The Look,/V/A/VA22-SI_main.jpg,/V/A/VA22-SI_main.jpg
VSK08,"look_book_headline=JUST PLAIN FLIRTY AND FUN,look_book_subtitle=The energetic print and short length of this skirt demand attention no matter what the occasion. Strap on a pair of wedges and your legs will look amazing!,look_book_image=/V/S/VSK08-PE_main.jpg",Shop The Look,/V/S/VSK08-PE_main.jpg,/V/S/VSK08-PE_main.jpg
VSW09,"look_book_headline=SUMMER’S MUST HAVE LAYER,look_book_subtitle=Understated yet striking. Great for keeping you warm without feeling weighed down. The soft lines of this sweater provide endless comfort while keeping you looking flawless.,look_book_image=/V/S/VSW09-RN_main.jpg",Shop The Look,/V/S/VSW09-RN_main.jpg,/V/S/VSW09-RN_main.jpg
VA13-GO-NA,"look_book_headline=A BRIGHT POP OF COLOR,look_book_subtitle=This long, multi-strand necklace with a medley of brightly colored glass beads offers the perfect embellishment. This accessory easily transitions through all seasons.,look_book_image=/V/A/VA13-SG_main.jpg",Shop The Look,/V/A/VA13-SG_main.jpg,/V/A/VA13-SG_main.jpg
VSW05,"look_book_headline=COMFORT CAN LOOK THIS GOOD,look_book_subtitle=This sweater will make you feel like you're sitting overlooking the ocean, no matter where you are. The sheer cotton material is fabulous over a tank top.,look_book_image=/V/S/VSW05-KH_main.jpg",Shop The Look,/V/S/VSW05-KH_main.jpg,/V/S/VSW05-KH_main.jpg
VP04,"look_book_headline=EASY GOING JUST LIKE YOU,look_book_subtitle=Slip on these pants and you’ll immediately begin to feel something like an ocean breeze sweep over you. Your clothes should be easy going, just like you.,look_book_image=/V/P/VP04-KH_main.jpg",Shop The Look,/V/P/VP04-KH_main.jpg,/V/P/VP04-KH_main.jpg
VA19-GO-NA,"look_book_headline=ALL THAT GLITTERS IS GOLD,look_book_subtitle=Guaranteed to clink, clatter and sing when worn together, this sun-kissed collection of eight gold bangle bracelets adds a touch of whimsy and a lot of style.,look_book_image=/V/A/VA19-GO_main.jpg",Shop The Look,/V/A/VA19-GO_main.jpg,/V/A/VA19-GO_main.jpg
VT11,"look_book_headline=LAID BACK AND BREEZY,look_book_subtitle=This tank features two layers of possibility. The loose fit flatters and the tiered material hangs beautifully. Great shape and fit make it a wardrobe favorite.,look_book_image=/V/T/VT11-RN_main.jpg",Shop The Look,/V/T/VT11-RN_main.jpg,/V/T/VT11-RN_main.jpg
VP05,"look_book_headline=EFFORTLESS FREESTYLE MOVEMENT,look_book_subtitle=Floaty and feminine, these pants feature a unique design and varying color palette to make pairing a snap. For minimalism, try oversized bottoms with a tiny top.,look_book_image=/V/P/VP05-MT_main.jpg",Shop The Look,/V/P/VP05-MT_main.jpg,/V/P/VP05-MT_main.jpg
VA15-SI-NA,"look_book_headline=UNDERSTATED CLASSIC STYLE,look_book_subtitle=These irresistible, ultra-versatile sterling silver studs bring luxe detail to any outfit. A matte finish keeps them understated so you can dress them up or down.,look_book_image=/V/A/VA15-SI_main.jpg",Shop The Look,/V/A/VA15-SI_main.jpg,/V/A/VA15-SI_main.jpg
VT10,"look_book_headline=NEVER WEAR A T-SHIRT AGAIN,look_book_subtitle=This top is all about mixing it up. An interesting combination of cotton & rayon materials makes it luxuriously soft. Wear it casual or dress it up. There are no rules here.,look_book_image=/V/T/VT10-LA_main.jpg",Shop The Look,/V/T/VT10-LA_main.jpg,/V/T/VT10-LA_main.jpg
VA20-SI-NA,"look_book_headline=HARMONY SOUNDS LIKE THIS,look_book_subtitle=Guaranteed to clink, clatter and sing when worn together, this gold and black bangle set is loaded with endless layering options. Perfect touch of style for every season.,look_book_image=/V/A/VA20-GB_main.jpg",Shop The Look,/V/A/VA20-GB_main.jpg,/V/A/VA20-GB_main.jpg
VA16-GO-NA,"look_book_headline=SUBTLETY AT ITS VERY BEST,look_book_subtitle=Subtlety with overwhelming style. These irresistible, ultra-versatile 18K matte gold studs won’t steal the show, but they’ll be a vital part of the supporting cast.,look_book_image=/V/A/VA16-GO_main.jpg",Shop The Look,/V/A/VA16-GO_main.jpg,/V/A/VA16-GO_main.jpg
